,gene_id,database,kegg_id
2870,WA5_RS02185,KEGG_Pathway,map01110
2871,WA5_RS02185,KEGG_Pathway,map01120
2876,WA5_RS02195,KEGG_Pathway,map00860
2877,WA5_RS02195,KEGG_Pathway,map01100
2878,WA5_RS02195,KEGG_Pathway,map01110
2879,WA5_RS02195,KEGG_Pathway,map01120
2882,WA5_RS02210,KEGG_Pathway,map01524
2883,WA5_RS02210,KEGG_Pathway,map04016
2887,WA5_RS02215,KEGG_Pathway,map00860
2888,WA5_RS02215,KEGG_Pathway,map01100
2889,WA5_RS02215,KEGG_Pathway,map01110
2893,WA5_RS02220,KEGG_Pathway,map00860
2894,WA5_RS02220,KEGG_Pathway,map01100
2895,WA5_RS02220,KEGG_Pathway,map01110
2900,WA5_RS02225,KEGG_Pathway,map00860
2901,WA5_RS02225,KEGG_Pathway,map01100
2902,WA5_RS02225,KEGG_Pathway,map01110
2903,WA5_RS02225,KEGG_Pathway,map01120
2907,WA5_RS02280,KEGG_Pathway,map00130
2908,WA5_RS02280,KEGG_Pathway,map01100
2909,WA5_RS02280,KEGG_Pathway,map01110
2913,WA5_RS02290,KEGG_Pathway,map00130
2914,WA5_RS02290,KEGG_Pathway,map01100
2915,WA5_RS02290,KEGG_Pathway,map01110
2922,WA5_RS02300,KEGG_Pathway,map00040
2923,WA5_RS02300,KEGG_Pathway,map00053
2924,WA5_RS02300,KEGG_Pathway,map00930
2925,WA5_RS02300,KEGG_Pathway,map01100
2926,WA5_RS02300,KEGG_Pathway,map01120
2927,WA5_RS02300,KEGG_Pathway,map01220
2936,WA5_RS02305,KEGG_Pathway,map00053
2937,WA5_RS02305,KEGG_Pathway,map00261
2938,WA5_RS02305,KEGG_Pathway,map00300
2939,WA5_RS02305,KEGG_Pathway,map01100
2940,WA5_RS02305,KEGG_Pathway,map01110
2941,WA5_RS02305,KEGG_Pathway,map01120
2942,WA5_RS02305,KEGG_Pathway,map01130
2943,WA5_RS02305,KEGG_Pathway,map01230
2947,WA5_RS02350,KEGG_Pathway,map00130
